Trial-ID,Status,Iteration,batch_size,dataset,epochs,gpus,lr,max_concurrent,max_layers,model,num_layers,patience,save_type,Objective,acc,loss,val_acc,val_loss
7,INTERMEDIATE,1,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3031191875457764,0.0992,2.3541691374969482,0.1,2.3031191875457764
7,INTERMEDIATE,2,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3034486042022704,0.09908,2.3032473313903807,0.1,2.3034486042022704
7,INTERMEDIATE,3,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3029317710876467,0.09604,2.303397791595459,0.1,2.3029317710876467
7,INTERMEDIATE,4,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.30290244140625,0.09834000000476838,2.3034099293518064,0.1,2.30290244140625
7,INTERMEDIATE,5,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3032756603240965,0.10187999999523163,2.3032400253295897,0.1,2.3032756603240965
7,INTERMEDIATE,6,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303226400756836,0.09936,2.3033308860778807,0.1,2.303226400756836
7,INTERMEDIATE,7,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303059765625,0.10146000000238418,2.303201074066162,0.1,2.303059765625
7,INTERMEDIATE,8,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3030160148620604,0.10068,2.303258752975464,0.1,2.3030160148620604
7,INTERMEDIATE,9,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3032212303161623,0.10074000000476838,2.303252241897583,0.1,2.3032212303161623
7,INTERMEDIATE,10,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3032846057891847,0.09922,2.3033412715148924,0.1,2.3032846057891847
7,INTERMEDIATE,11,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3032965347290038,0.10012000000476837,2.303296062011719,0.1,2.3032965347290038
7,INTERMEDIATE,12,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.302983560180664,0.09975999999761581,2.3033873320007325,0.1,2.302983560180664
7,INTERMEDIATE,13,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303254954528809,0.09790000000059605,2.3034467146301267,0.1,2.303254954528809
7,INTERMEDIATE,14,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303056604003906,0.09852000000059605,2.303432320251465,0.1,2.303056604003906
7,INTERMEDIATE,15,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3034481842041017,0.0994,2.303241693878174,0.1,2.3034481842041017
7,INTERMEDIATE,16,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3029027221679685,0.09854,2.3034161920166016,0.1,2.3029027221679685
7,INTERMEDIATE,17,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303133932495117,0.10028,2.303261200180054,0.1,2.303133932495117
7,INTERMEDIATE,18,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.302838924407959,0.10004,2.3032526781463623,0.1,2.302838924407959
7,INTERMEDIATE,19,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3031483421325682,0.09874000000476837,2.3033750666809083,0.1,2.3031483421325682
7,INTERMEDIATE,20,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3030054855346678,0.09835999999761581,2.3033452171325686,0.1,2.3030054855346678
7,INTERMEDIATE,21,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3031559902191163,0.10018,2.3032616663360597,0.1,2.3031559902191163
7,INTERMEDIATE,22,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.302972336578369,0.09961999999046325,2.3032970960998536,0.1,2.302972336578369
7,INTERMEDIATE,23,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3037118545532227,0.10110000000238419,2.3032942108154297,0.1,2.3037118545532227
7,INTERMEDIATE,24,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3029776889801026,0.09915999999761581,2.303403416671753,0.1,2.3029776889801026
7,INTERMEDIATE,25,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3033193904876708,0.10032000000476837,2.303217793426514,0.1,2.3033193904876708
7,INTERMEDIATE,26,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3031653881073,0.1014600000011921,2.303358027572632,0.1,2.3031653881073
7,INTERMEDIATE,27,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3028315746307375,0.10036,2.303297826690674,0.1,2.3028315746307375
7,INTERMEDIATE,28,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3029949268341063,0.09586000000119209,2.3034713652801515,0.1,2.3029949268341063
7,INTERMEDIATE,29,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3027660118103026,0.10019999999523163,2.303333094558716,0.1,2.3027660118103026
7,INTERMEDIATE,30,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3029754673004152,0.10067999999761582,2.3033181575012205,0.1,2.3029754673004152
7,INTERMEDIATE,31,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3031892272949217,0.0985,2.303266776123047,0.1,2.3031892272949217
7,INTERMEDIATE,32,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303079530715942,0.09828000000238418,2.3034146508026123,0.1,2.303079530715942
